delivery_id,item_type,quantity,price_per_unit,manufacture_datetime
DEL-005,donut,65,1.75,2024-01-19 05:30:00
DEL-005,cinnamon_roll,30,3.75,2024-01-19 04:00:00
DEL-005,whole_wheat_bread,18,5.25,2024-01-19 02:45:00
DEL-005,chocolate_chip_cookie,85,1.50,2024-01-19 06:45:00
DEL-005,bagel,50,2.25,2024-01-19 04:30:00
DEL-005,sourdough_bread,20,4.75,2024-01-19 03:00:00
DEL-005,pain_au_chocolat,32,3.25,2024-01-19 03:45:00
DEL-005,multigrain_bread,24,4.50,2024-01-19 02:15:00
DEL-005,lemon_tart,25,4.25,2024-01-19 05:00:00
DEL-005,croissant,36,2.50,2024-01-19 04:15:00
